number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 1.00 (extract)
mAP = 1.00 (paras)
mAP = 1.00 (125127)
mAP = 0.06 (of)
mAP = 1.00 (revenue)
mAP = 0.08 (letter)
mAP = 0.01 (to)
mAP = 0.35 (the)
mAP = 0.08 (honble)
mAP = 0.06 (court)
mAP = 0.34 (of)
mAP = 0.00 (directors)
mAP = 0.50 (dated)
mAP = 0.50 (20)
mAP = 0.25 (november)
mAP = 0.17 (no)
mAP = 1.00 (83)
mAP = 0.17 (of)
mAP = 0.00 (1843)
mAP = 0.67 (senna)
mAP = 0.52 (dukhun)
mAP = 0.00 (dr)
mAP = 0.18 (gibson)
mAP = 1.00 (super)
mAP = 1.00 (intendent)
mAP = 0.00 (of)
mAP = 1.00 (bo)
mAP = 1.00 (tanical)
mAP = 0.00 (gardens)
mAP = 0.50 (authorized)
mAP = 0.11 (to)
mAP = 0.50 (purchase)
mAP = 0.33 (senna)
mAP = 0.02 (produced)
mAP = 0.02 (in)
mAP = 0.27 (the)
mAP = 0.34 (dukhun)
mAP = 0.02 (to)
mAP = 0.00 (en)
mAP = 0.00 (courage)
mAP = 0.05 (the)
mAP = 1.00 (cul)
mAP = 1.00 (tivation)
mAP = 0.33 (125)
mAP = 0.15 (dr)
mAP = 0.67 (gibson)
mAP = 0.53 (the)
mAP = 1.00 (superin)
mAP = 1.00 (tendent)
mAP = 0.17 (of)
mAP = 0.22 (the)
mAP = 0.51 (botanical)
mAP = 0.50 (gardens)
mAP = 1.00 (lately)
mAP = 1.00 (represented)
mAP = 0.46 (to)
mAP = 0.00 (us)
mAP = 0.56 (that)
mAP = 0.30 (as)
mAP = 0.58 (the)
mAP = 1.00 (descrip)
mAP = 0.55 (tion)
mAP = 0.19 (of)
mAP = 0.50 (senna)
mAP = 0.50 (raised)
mAP = 0.49 (by)
mAP = 1.00 (him)
mAP = 0.00 (had)
mAP = 0.14 (been)
mAP = 0.00 (much)
mAP = 0.00 (approved)
mAP = 0.41 (of)
mAP = 0.01 (in)
mAP = 0.67 (the)
mAP = 1.00 (english)
mAP = 0.64 (market)
mAP = 0.33 (its)
mAP = 1.00 (extended)
mAP = 0.40 (cultivation)
mAP = 0.39 (might)
mAP = 0.00 (be)
mAP = 0.52 (of)
mAP = 1.00 (adv)
mAP = 1.00 (antage)
mAP = 1.00 (especially)
mAP = 0.14 (in)
mAP = 0.70 (the)
mAP = 0.00 (comparatively)
mAP = 1.00 (barren)
mAP = 1.00 (portions)
mAP = 0.36 (of)
mAP = 0.59 (the)
mAP = 0.35 (dukhun)
mAP = 0.62 (the)
mAP = 1.00 (ryots)
mAP = 1.00 (however)
mAP = 0.00 (would)
mAP = 1.00 (need)
mAP = 0.54 (the)
mAP = 1.00 (encouragement)
mAP = 0.36 (of)
mAP = 0.20 (a)
mAP = 1.00 (speedy)
mAP = 0.70 (and)
mAP = 0.00 (remunerating)
mAP = 1.00 (market)
mAP = 0.43 (to)
mAP = 1.00 (induce)
mAP = 0.58 (them)
mAP = 0.45 (to)
mAP = 1.00 (undertake)
mAP = 0.21 (a)
mAP = 0.00 (new)
mAP = 0.38 (cultivation)
mAP = 0.68 (and)
mAP = 0.52 (as)
mAP = 0.65 (the)
mAP = 1.00 (medical)
mAP = 0.00 (department)
mAP = 1.00 (required)
mAP = 0.25 (a)
mAP = 0.33 (supply)
mAP = 0.15 (dr)
mAP = 0.00 (gibson)
mAP = 1.00 (proposed)
mAP = 0.62 (that)
mAP = 1.00 (government)
mAP = 0.52 (should)
mAP = 1.00 (engage)
mAP = 0.50 (to)
mAP = 0.50 (purchase)
mAP = 0.67 (the)
mAP = 1.00 (whole)
mAP = 0.00 (quantity)
mAP = 0.46 (which)
mAP = 0.36 (might)
mAP = 0.06 (be)
mAP = 0.50 (produced)
mAP = 0.41 (for)
mAP = 0.68 (the)
mAP = 0.33 (first)
mAP = 0.50 (three)
mAP = 1.00 (years)
mAP = 1.00 (126)
mAP = 0.28 (before)
mAP = 1.00 (entertaining)
mAP = 0.35 (the)
mAP = 1.00 (proposition)
mAP = 1.00 (rev)
mAP = 1.00 (cons)
mAP = 0.50 (1843)
mAP = 0.50 (12)
mAP = 0.50 (july)
mAP = 1.00 (v395051)
mAP = 0.00 (augt)
mAP = 1.00 (v484446)
mAP = 1.00 (septr)
mAP = 1.00 (v)
mAP = 1.00 (531517)
mAP = 0.00 (4th)
mAP = 0.06 (you)
mAP = 0.58 (will)
mAP = 0.52 (make)
mAP = 0.33 (your)
mAP = 0.50 (own)
mAP = 1.00 (arrangements)
mAP = 0.80 (with)
mAP = 0.02 (the)
mAP = 0.53 (post)
mAP = 1.00 (office)
mAP = 0.68 (and)
mAP = 1.00 (wagon)
mAP = 1.00 (train)
mAP = 1.00 (estabts)
mAP = 0.57 (the)
mAP = 0.75 (post)
mAP = 1.00 (master)
mAP = 0.42 (general)
mAP = 0.57 (will)
mAP = 0.28 (be)
mAP = 0.37 (desired)
mAP = 0.45 (to)
mAP = 0.58 (instruct)
mAP = 0.34 (his)
mAP = 1.00 (subordinates)
mAP = 0.31 (to)
mAP = 1.00 (pay)
mAP = 0.02 (the)
mAP = 0.12 (readiest)
mAP = 1.00 (attention)
mAP = 0.33 (to)
mAP = 0.68 (all)
mAP = 0.32 (your)
mAP = 1.00 (requisitions)
mAP = 0.00 (5th)
mAP = 0.19 (at)
mAP = 1.00 (allahabad)
mAP = 0.72 (the)
mAP = 1.00 (commissioner)
mAP = 0.34 (mr)
mAP = 1.00 (r)
mAP = 1.00 (lowther)
mAP = 0.21 (has)
mAP = 0.34 (always)
mAP = 1.00 (shown)
mAP = 1.00 (himself)
mAP = 0.70 (most)
mAP = 0.00 (ready)
mAP = 0.36 (to)
mAP = 1.00 (assist)
mAP = 0.10 (in)
mAP = 0.31 (any)
mAP = 1.00 (transaction)
mAP = 0.40 (of)
mAP = 0.42 (this)
mAP = 1.00 (kind)
mAP = 0.63 (and)
mAP = 0.20 (his)
mAP = 1.00 (horticultural)
mAP = 1.00 (taste)
mAP = 0.18 (as)
mAP = 0.37 (well)
mAP = 0.14 (as)
mAP = 0.32 (his)
mAP = 1.00 (local)
mAP = 1.00 (experience)
mAP = 0.53 (and)
mAP = 0.25 (influences)
mAP = 1.00 (enable)
mAP = 1.00 (him)
mAP = 0.44 (to)
mAP = 0.54 (make)
mAP = 0.39 (his)
mAP = 1.00 (arrangements)
mAP = 0.11 (with)
mAP = 1.00 (effect)
mAP = 0.00 (6th)
mAP = 0.58 (the)
mAP = 1.00 (govt)
mAP = 0.46 (of)
mAP = 1.00 (bengal)
mAP = 0.63 (will)
mAP = 0.36 (be)
mAP = 1.00 (requested)
mAP = 0.43 (to)
mAP = 0.70 (instruct)
mAP = 0.28 (the)
mAP = 1.00 (commander)
mAP = 0.38 (of)
mAP = 0.45 (the)
mAP = 0.51 (river)
mAP = 1.00 (steamers)
mAP = 0.40 (to)
mAP = 1.00 (pay)
mAP = 0.35 (every)
mAP = 1.00 (attention)
mAP = 0.09 (in)
mAP = 0.31 (their)
mAP = 1.00 (power)
mAP = 0.45 (to)
mAP = 0.26 (mr)
mAP = 1.00 (lowthers)
mAP = 1.00 (instuctions)
mAP = 0.50 (regarding)
mAP = 0.70 (the)
mAP = 1.00 (transport)
mAP = 0.45 (of)
mAP = 0.92 (packages)
mAP = 0.26 (of)
mAP = 0.08 (seeds)
mAP = 0.25 (or)
mAP = 0.39 (of)
mAP = 1.00 (ward)
mAP = 1.00 (cases)
mAP = 0.83 (they)
mAP = 0.45 (will)
mAP = 0.50 (also)
mAP = 0.38 (be)
mAP = 1.00 (requested)
mAP = 0.30 (to)
mAP = 0.50 (place)
mAP = 0.64 (the)
mAP = 0.00 (care)
mAP = 0.18 (of)
mAP = 0.55 (the)
mAP = 0.92 (packages)
mAP = 0.21 (on)
mAP = 0.37 (their)
mAP = 1.00 (arrival)
mAP = 0.13 (in)
mAP = 1.00 (calcutta)
mAP = 0.11 (in)
mAP = 0.49 (the)
mAP = 1.00 (hands)
mAP = 0.28 (of)
mAP = 0.15 (dr)
mAP = 1.00 (falconer)
mAP = 0.80 (with)
mAP = 1.00 (whom)
mAP = 0.15 (as)
mAP = 0.52 (well)
mAP = 0.27 (as)
mAP = 0.80 (with)
mAP = 0.17 (mr)
mAP = 0.75 (lowther)
mAP = 0.11 (you)
mAP = 0.70 (should)
mAP = 1.00 (correspond)
mAP = 1.00 (direct)
mAP = 1.00 (7th)
mAP = 0.05 (as)
mAP = 1.00 (soon)
mAP = 0.07 (as)
mAP = 0.49 (the)
mAP = 1.00 (seasons)
mAP = 1.00 (operations)
mAP = 0.35 (are)
mAP = 0.50 (closed)
mAP = 0.12 (you)
mAP = 0.55 (will)
mAP = 0.26 (be)
mAP = 0.92 (pleased)
mAP = 0.42 (to)
mAP = 1.00 (furnish)
mAP = 1.00 (lists)
mAP = 0.23 (of)
mAP = 0.46 (the)
mAP = 0.50 (seeds)
mAP = 0.65 (and)
mAP = 1.00 (plants)
mAP = 1.00 (whch)
mAP = 0.09 (you)
mAP = 0.08 (have)
mAP = 0.00 (dispatched)
mAP = 0.79 (with)
mAP = 0.72 (the)
mAP = 1.00 (dates)
mAP = 0.09 (of)
mAP = 1.00 (despatches)
mAP = 0.58 (and)
mAP = 0.40 (the)
mAP = 0.58 (name)
mAP = 0.40 (of)
mAP = 0.34 (the)
mAP = 1.00 (ship)
mAP = 0.11 (which)
mAP = 1.00 (carries)
