Processing image 0 / 125
number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01124 | e: 0.49615 | total_loss: 0.50739 | 
[iter   400] eo: 0.00550 | e: 0.25224 | total_loss: 0.25774 | 
[iter   600] eo: 0.00496 | e: 0.19085 | total_loss: 0.19581 | 
[iter   800] eo: 0.00442 | e: 0.16768 | total_loss: 0.17209 | 
[iter  1000] eo: 0.00432 | e: 0.15549 | total_loss: 0.15982 | 
Extract Features
Saving features.pt
mAP_eval -> postprocessing
mAP = 0.84
mAP = 0.99
mAP = 1.00
mAP = 0.89
mAP = 0.84
mAP = 1.00
mAP = 0.99
mAP = 0.84
mAP = 1.00
mAP = 1.00
mAP = 1.00
mAP = 0.89
mAP = 0.90
mAP = 0.84
mAP = 0.94
mAP = 0.95
mAP = 1.00
mAP = 0.91
mAP = 1.00
mAP = 0.97
mAP = 0.96
mAP = 0.84
mAP = 0.97
mAP = 1.00
mAP = 0.89
mAP = 0.84
mAP = 1.00
mAP = 0.90
mAP = 0.84
mAP = 0.91
mAP = 0.90
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 0.80
mAP = 0.92
mAP = 1.00
mAP = 0.84
mAP = 1.00
mAP = 0.84
mAP = 0.89
mAP = 0.92
mAP = 1.00
mAP = 1.00
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 1.00
mAP = 0.48
mAP = 0.04
mAP = 1.00
mAP = 0.84
mAP = 0.95
mAP = 0.84
mAP = 0.87
mAP = 0.90
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 0.78
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 0.78
mAP = 0.84
mAP = 0.92
mAP = 0.99
mAP = 0.37
mAP = 0.82
mAP = 0.99
mAP = 0.90
mAP = 1.00
mAP = 0.84
mAP = 1.00
mAP = 0.84
mAP = 0.70
mAP = 0.83
mAP = 0.90
mAP = 0.84
mAP = 1.00
mAP = 1.00
mAP = 0.99
mAP = 1.00
mAP = 0.98
mAP = 0.84
mAP = 0.95
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 1.00
mAP = 0.84
mAP = 0.92
mAP = 0.98
mAP = 0.37
mAP = 0.86
mAP = 0.99
mAP = 0.84
mAP = 0.75
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 1.00
mAP = 0.99
mAP = 0.90
mAP = 0.78
mAP = 1.00
mAP = 1.00
mAP = 1.00
mAP = 0.97
mAP = 0.96
mAP = 0.84
mAP = 1.00
mAP = 1.00
mAP = 1.00
mAP = 0.84
mAP = 0.86
mAP = 0.90
mAP = 0.84
mAP = 1.00
mAP = 0.95
mAP = 0.92
mAP = 0.99
